x1 x2 Output
0.888111 -0.346926 0.414723
-0.580253 0.244619 0.608845
0.369541 0.353143 0.651898
-0.737770 -0.581626 0.302354
0.219641 -0.961269 0.818350
-0.898337 0.471144 0.470503
-0.594409 -0.108193 0.507932
0.960568 -0.539647 0.438923
0.650358 0.265962 0.432078
-0.335654 -0.547218 0.634819
-0.371550 0.174701 0.766294
0.948944 -0.248919 0.335650
0.537123 -0.869168 0.732350
-0.244633 0.106549 0.862489
-0.097336 -0.386360 0.911424
0.524137 0.496793 0.501899
-0.459778 -0.033416 0.644770
0.613602 0.492475 0.442226
-0.571023 -0.429713 0.499915
-0.341210 -0.375664 0.687632
-0.102965 0.065388 0.985828
0.959581 -0.712650 0.520000
-0.064191 -0.196806 0.993614
0.415216 0.785151 0.531989
0.464715 -0.696610 0.732721
0.868336 -0.606252 0.512156
0.641321 -0.573337 0.634761
-0.109607 0.313309 0.917430
0.373435 -0.376034 0.763197
0.068728 -0.796209 0.899295
-0.683075 -0.334234 0.419421
0.109644 -0.370353 0.917137
-0.097032 0.782494 0.890131
0.345618 -0.826073 0.802173
0.068753 -0.163248 0.949063
-0.206265 -0.645446 0.711533
-0.561761 -0.325892 0.531271
-0.045299 -0.186409 0.980615
-0.988912 -0.947236 0.019907
0.669085 0.448028 0.396245
0.827170 0.281249 0.304884
-0.816620 -0.983020 0.157774
0.987788 0.409430 0.136794
0.905625 0.134706 0.255045
-0.657461 0.145180 0.507337
-0.014478 0.787837 0.845435
0.042497 -0.161943 0.993188
0.163006 -0.767623 0.810498
0.891348 -0.760498 0.592940
-0.767167 0.352538 0.503666
0.241890 0.432722 0.757401
0.380445 0.118294 0.689772
0.445410 0.003580 0.678703
0.180069 0.204376 0.822678
-0.219906 0.780864 0.824250
0.902469 0.441470 0.196123
-0.765330 0.827889 0.613684
0.758228 0.224102 0.359147
-0.182081 0.517921 0.846594
-0.061948 -0.847783 0.842333
0.985276 0.691306 0.075463
-0.205756 0.785663 0.800626
-0.179843 -0.429708 0.771071
0.453426 0.905850 0.477360
0.471186 0.010092 0.653039
0.709020 0.199722 0.425934
-0.601784 -0.820392 0.380869
0.977977 -0.537944 0.437905
0.178709 -0.376016 0.870022
0.685685 0.829696 0.312270
0.100811 -0.109498 0.920686
0.030393 -0.503212 0.898733
-0.750173 0.202936 0.469387
-0.520945 0.105562 0.637553
-0.194651 0.040600 0.870316
0.932316 0.801408 0.100593
0.040758 -0.525443 0.957045
-0.332940 0.304959 0.739153
0.092625 0.481979 0.840175
-0.946770 -0.490853 0.155659
0.493175 0.703965 0.494519
0.843518 0.659741 0.208136
0.574337 0.807283 0.396848
0.031795 -0.196868 0.998078
0.169970 -0.164513 0.879318
-0.875539 0.291279 0.429220
0.660477 0.626042 0.364643
-0.686538 0.785867 0.654769
-0.293000 0.387824 0.816401
-0.608331 0.794598 0.660782
0.791687 0.120833 0.367788
0.608503 -0.638534 0.641014
-0.249846 -0.056369 0.820314
0.569523 0.756869 0.424732
0.972712 0.576599 0.112282
0.424075 -0.308148 0.704183
0.549276 0.724817 0.448498
0.244423 0.035686 0.813270
-0.295446 0.630018 0.805364
-0.623502 0.500564 0.620983
0.336640 -0.932878 0.782820
0.790394 -0.411033 0.486521
-0.929108 -0.252824 0.226000
-0.047314 -0.201322 1.000587
0.255278 -0.496888 0.847736
0.835726 -0.508350 0.498731
-0.966326 -0.255468 0.190742
0.522564 0.329476 0.548605
-0.719152 0.197832 0.516772
-0.614411 0.336932 0.595063
0.161507 0.448463 0.785361
0.580547 -0.134934 0.608080
-0.476724 0.929998 0.730467
0.867347 -0.417995 0.476409
0.548860 0.587232 0.453880
0.963734 0.556533 0.129153
-0.261956 -0.817098 0.675833
0.013901 0.659261 0.880439
0.692740 0.940590 0.268171
0.093138 -0.232415 0.949859
-0.367235 -0.036702 0.762686
0.302601 -0.675137 0.808921
0.500313 -0.987111 0.753986
-0.764855 0.140388 0.461481
0.642541 -0.961279 0.684520
0.539771 0.267942 0.521294
-0.512901 0.866472 0.687672
0.601336 -0.026199 0.553503
0.922948 -0.182022 0.336294
0.057486 -0.069432 0.961561
0.164898 0.494909 0.821292
-0.220674 0.012312 0.882092
0.638459 0.419782 0.438628
0.238211 -0.971205 0.759767
-0.923238 -0.192170 0.238208
-0.717060 -0.774970 0.279138
-0.959629 0.650890 0.482696
-0.259858 -0.473873 0.724827
0.202403 0.035455 0.842292
0.025704 -0.959943 0.866048
-0.423466 0.876288 0.709859
0.640964 0.503755 0.405761
0.524381 -0.373784 0.662876
0.295188 -0.513627 0.816185
-0.999819 0.411457 0.398193
-0.042807 -0.031585 1.013985
-0.838210 -0.047336 0.346011
-0.736338 0.108931 0.451589
0.165942 -0.073528 0.898552
0.834241 0.160061 0.303389
-0.119949 -0.860476 0.802580
0.907784 -0.418347 0.435239
-0.431021 -0.216336 0.665573
-0.632419 0.868323 0.670146
-0.750383 -0.414581 0.322908
-0.414804 0.157776 0.717196
0.977478 0.070577 0.220770
0.928521 0.143918 0.249672
-0.333669 0.462322 0.797604
-0.374901 0.971648 0.767292
-0.865044 0.261934 0.408793
-0.350335 0.019031 0.775913
0.864165 -0.286049 0.427015
0.742503 0.093526 0.417033
0.307081 0.152761 0.744402
-0.420248 -0.860497 0.491914
-0.504128 -0.712232 0.490949
-0.385123 0.193987 0.766851
-0.507386 0.942770 0.725116
0.440810 -0.945363 0.769272
-0.438732 0.154429 0.699570
-0.176302 -0.906457 0.693267
-0.248243 0.602577 0.843274
-0.767158 -0.824059 0.233457
-0.084607 -0.764481 0.842470
0.187148 0.322048 0.825180
0.368063 0.251580 0.703578
0.901065 0.707116 0.142141
-0.488505 -0.234640 0.587968
0.277288 0.060975 0.817595
-0.117535 -0.758336 0.779090
-0.031548 0.599305 0.909408
0.770695 0.623339 0.282960
0.775103 0.021341 0.402072
-0.107440 0.811478 0.870066
0.543418 -0.930312 0.693711
0.029013 -0.437130 0.957059
-0.051272 0.424358 0.905867
-0.941956 0.477522 0.442217
0.693297 -0.368493 0.537891
0.443398 0.067082 0.657960
0.109097 -0.107949 0.920224
-0.100556 0.345830 0.879951
0.958798 0.127380 0.222448
0.926562 -0.280807 0.394145
0.664038 -0.676918 0.616892
-0.557881 0.070698 0.569395
0.718270 0.242525 0.384986
0.510630 0.354967 0.535539
0.113214 0.409389 0.908848
0.864938 0.588363 0.204866
0.298080 -0.858312 0.813147
-0.279831 -0.339593 0.724235
-0.667263 -0.761069 0.320460
-0.740817 0.675831 0.624658
0.579999 0.903458 0.373506
-0.463988 0.600199 0.698746
-0.167547 -0.029513 0.919574
-0.803431 -0.544634 0.263500
-0.880143 0.942045 0.634207
0.298424 -0.639492 0.809690
-0.516073 -0.776068 0.464707
0.356710 -0.825623 0.761489
-0.710582 -0.154230 0.432635
0.367505 -0.265406 0.747634
0.146347 0.538242 0.832603
