nahr walddist stoerdist Output
0.074384 930.459983 3055.318844 0.000000
0.093632 839.235995 366.693678 0.000000
0.534940 365.113244 1840.585885 0.534442
0.261526 389.887257 4476.365346 0.369677
0.766534 732.902784 2041.145879 0.479784
0.524432 956.594694 1233.468008 0.045445
0.882366 152.592064 938.301964 0.435126
0.233014 831.916419 1142.898934 0.000000
0.808505 385.480830 1156.361748 0.368034
0.998674 777.788665 1472.449436 0.381029
0.141292 136.460019 592.988581 0.085257
0.609769 124.882028 3633.221619 0.745549
0.572474 286.393608 688.965434 0.426656
0.283413 343.217859 4836.195737 0.640310
0.371556 32.199790 2302.746224 0.652303
0.463900 43.067446 1183.109917 0.471022
0.568452 593.722868 1551.505656 0.323264
0.012357 53.428302 3515.119587 0.000000
0.900364 410.985289 2930.415464 0.580107
0.803524 935.757491 1085.471332 0.239251
0.494502 502.962941 4817.061076 0.784341
0.333424 270.865205 2113.924993 0.618120
0.173914 416.894077 876.295328 0.088256
0.762486 175.319993 2760.607437 0.600713
0.817518 777.653626 676.613296 0.206668
0.418820 490.976493 4795.465251 0.463983
0.129886 925.508481 4297.319748 0.025611
0.182525 650.222265 2584.729651 0.000000
0.750275 234.404888 3182.177579 0.660030
0.845394 452.863603 4522.016177 0.807846
0.127711 485.434281 3720.241851 0.042958
0.251106 48.313227 4141.200190 0.327425
0.212266 72.113535 2425.441136 0.213565
0.679540 408.184765 700.171032 0.307395
0.120746 552.802446 2054.982899 0.000000
0.564352 513.380504 4681.210174 0.765401
0.540548 43.868547 4090.496403 0.856217
0.476867 345.500510 3518.499556 0.686949
0.751361 946.914677 4911.038870 0.456347
0.119182 124.417278 822.442839 0.041564
0.893107 190.885981 2991.280532 0.640909
0.358087 913.699019 3426.140100 0.084508
0.433384 860.499364 3884.812131 0.268714
0.538985 905.967149 2367.008308 0.134477
0.024175 982.854330 319.662425 0.000000
0.072980 566.012456 4082.697772 0.000000
0.339198 69.926659 2423.188431 0.632939
0.863100 788.888772 2736.847831 0.510507
0.221079 783.118755 2207.040967 0.000000
0.723067 704.773879 942.249283 0.201802
0.007468 400.328555 760.701302 0.000000
0.293176 959.020135 1804.550825 0.028219
0.167306 746.217516 2137.575339 0.000000
0.823962 691.569647 3034.224830 0.505606
0.041212 56.312763 3233.042237 0.000000
0.542266 734.546364 2898.895635 0.380048
0.333242 690.880087 2703.264574 0.219569
0.745032 152.655950 2867.829630 0.653211
0.400472 902.876434 2207.460485 0.071038
0.555662 258.898528 3804.951140 0.817079
0.322223 823.035664 1910.063803 0.121805
0.599879 30.006031 2361.345434 0.657157
0.507715 694.363741 1900.865743 0.394571
0.560755 87.432219 1802.449517 0.586901
0.223750 8.238366 3998.546728 0.309838
0.570451 594.355493 4879.820404 0.820500
0.342930 709.995897 1210.439710 0.200467
0.208239 769.789675 2355.812183 0.000000
0.804111 502.345660 2959.210702 0.522707
0.297807 809.591569 2909.271655 0.138521
0.625348 769.337516 1119.189698 0.185970
0.908342 440.047431 3982.014069 0.698675
0.555865 409.759020 4618.033609 0.860595
0.497743 901.967167 2224.485818 0.138279
0.605093 798.254024 872.399183 0.137228
0.557896 438.639077 1079.032017 0.282577
0.638450 988.986530 4587.194741 0.356720
0.196074 413.895197 3171.650115 0.107743
0.884157 973.358485 1369.213261 0.289667
0.558829 645.205079 559.379265 0.205728
0.091492 290.552859 900.547780 0.000000
0.868928 746.861439 3393.095773 0.576494
0.685841 442.941035 866.771785 0.266034
0.091366 889.032961 897.234611 0.000000
0.919253 640.191014 1850.715382 0.460466
0.144483 390.498237 3081.675720 0.103782
0.803501 836.220340 4106.526746 0.623509
0.820994 212.024789 4476.730100 0.973483
0.409619 179.847170 3196.599574 0.676713
