nahr walddist stoerdist
0.644953 145.339189 4745.061394
0.901792 291.496847 4946.220964
0.401767 338.057114 951.409740
0.037435 761.213082 2532.922656
0.591951 37.089280 1250.267723
0.592221 99.944211 1347.421014
0.120065 574.545369 4697.511268
0.991021 132.452093 2904.437828
0.087148 391.455994 1904.092597
0.736955 452.148334 4669.621424
0.707877 677.234176 3660.818064
0.577674 428.837988 4254.329128
0.076289 176.395077 4909.719266
0.659184 134.959367 4575.559066
0.318220 374.104169 2657.496285
0.092817 52.889987 988.916102
0.514993 643.415085 1312.026186
0.054441 969.752175 2283.640781
0.986592 349.897697 2670.977916
0.911663 395.733155 4340.667933
0.656946 492.927766 3365.323925
0.126093 998.752944 4685.517126
0.263985 791.522404 4839.240586
0.679959 483.923255 2912.512838
0.395203 908.006560 1226.914577
0.302377 476.025953 2728.765363
0.613939 622.226360 3880.821945
0.829368 455.272101 3037.964052
0.988899 356.685143 4087.599541
0.081501 938.820271 4322.880463
0.589866 925.717836 3883.179091
0.222075 199.930045 2024.424521
0.712479 51.880617 4593.842500
0.058755 582.214448 3587.602396
0.073501 779.290997 4261.500246
0.955801 990.534717 2687.260756
0.636788 964.780296 1694.406496
0.416160 841.854935 3821.844903
0.021335 499.136061 1616.084037
0.634867 405.663813 2133.520355
0.169271 456.081348 2018.095895
0.490730 646.889386 2389.693254
0.269260 625.445965 4173.493020
0.992205 944.571352 4211.053995
0.840525 579.737725 3090.403205
0.548411 875.254500 2485.577351
0.459914 47.499991 865.750997
0.237120 509.875867 809.753829
0.259126 380.038704 4064.206955
0.775045 394.973958 4569.984769
0.858053 587.099924 3758.764626
0.676768 308.242871 707.476472
0.917555 58.434596 4276.482198
0.492871 357.992704 2909.657886
0.237225 772.897260 1279.772036
0.035267 929.619954 772.415490
0.502087 611.526864 3177.542262
0.059645 824.829029 2113.874825
0.206182 622.936656 1038.150735
0.564844 322.695495 683.130600
0.467771 465.490657 3616.872051
0.947864 344.852185 2983.341236
0.455110 960.260951 346.744750
0.956240 911.278825 3118.241375
0.181726 804.224163 3318.307380
0.381104 491.228552 3872.076240
0.976009 896.345418 3564.482656
0.047701 501.234052 2492.636234
0.073338 101.520844 2552.390337
0.926431 108.013023 2445.178825
0.718812 619.828897 1558.757914
0.899900 94.567547 1593.926974
0.951776 372.384673 4708.219828
0.759150 633.275017 860.832146
0.718649 914.747348 332.502995
0.940588 739.221153 4736.618253
0.988473 781.133621 1567.404514
0.201728 763.021031 4397.612796
0.788704 37.158318 696.553297
0.644185 237.604253 1061.738041
0.931104 801.112660 3794.796898
0.932730 131.295092 1912.071331
0.932595 335.012632 1041.525157
0.069392 314.929497 960.948581
0.976091 106.910919 2358.228941
0.443637 879.931044 1504.714205
0.767436 570.299265 946.078033
0.268830 415.475839 576.597599
0.444271 261.931763 475.841939
0.917892 999.102493 4931.197606
0.798239 324.606587 4569.796127
0.796501 593.524547 1300.541980
0.761225 669.210112 4153.184877
0.208631 824.035433 1863.151566
0.332687 143.491833 4778.009646
0.135717 207.762986 4425.091779
0.466209 561.964966 757.905158
0.493568 888.630660 2292.033325
0.137352 268.037824 2446.970308
0.359621 998.568223 3578.465455
