nahr walddist stoerdist Habitat
0.835563 35.180022 4683.147708 0.950573
0.478711 668.198271 4909.103035 0.752517
0.181022 328.888696 1940.352749 0.166521
0.291924 145.630961 4135.696155 0.693559
0.430420 528.699504 689.250224 0.204865
0.662091 519.559728 908.742767 0.201879
0.548839 880.158364 1181.894472 0.115845
0.846533 759.276940 1062.087743 0.224518
0.183561 93.542749 4468.274996 0.322843
0.566098 660.112579 4619.308120 0.775055
0.401374 3.529106 3081.521723 0.627380
0.790284 429.280125 1296.783644 0.383612
0.304926 777.332126 4797.654490 0.310891
0.908341 41.474387 1006.757191 0.420272
0.691879 172.239755 835.095443 0.435780
0.458536 888.799463 3390.357785 0.216717
0.842296 305.976986 3195.668928 0.699320
0.091655 685.062887 3935.262188 0.000000
0.974043 217.023376 1038.942572 0.425491
0.035282 167.679094 1451.702533 0.000000
0.799896 290.926797 3255.910569 0.663580
0.789003 854.340720 2358.018409 0.439438
0.385122 440.574976 2571.667788 0.332952
0.721321 69.600306 2012.187140 0.629861
0.872881 553.767924 2100.800606 0.545323
0.734169 378.220008 576.850721 0.331875
0.150523 688.183550 2217.748962 0.000000
0.776280 187.022806 1624.505024 0.571704
0.689164 652.721606 984.518319 0.209518
0.873928 0.302800 481.395352 0.393324
0.275044 630.240124 4763.300987 0.292085
0.411757 329.933262 913.360089 0.401374
0.630064 878.147011 3853.964724 0.333219
0.775817 954.747498 619.137609 0.156583
0.372280 306.858072 971.378208 0.419306
0.636099 954.155182 4186.359271 0.310780
0.736663 334.696137 3028.818529 0.579245
0.574847 862.655190 2531.109162 0.191485
0.668938 713.706078 860.411255 0.195771
0.193992 294.364755 983.840974 0.188822
0.020777 158.347203 1422.885552 0.000000
0.966662 68.825612 4929.561300 1.084327
0.532579 991.214464 2939.416725 0.011739
0.400095 915.227816 884.439535 0.061505
0.433216 403.049275 3492.388758 0.516836
0.505060 525.708026 1392.136400 0.302679
0.450391 73.430870 3918.427061 0.862607
0.288967 290.758842 1591.282650 0.489138
0.494520 414.799239 1926.938477 0.499126
0.499291 231.565761 4368.762898 0.957356
0.103192 675.648871 4648.152446 0.006745
0.332268 158.242134 828.236991 0.414586
0.700319 689.940311 792.214044 0.202295
0.415320 544.663613 3353.262004 0.267902
0.185664 365.993965 4857.368839 0.322627
0.862947 963.088246 1550.930719 0.324020
0.217911 344.842704 824.720705 0.166841
0.219378 343.720330 3179.517921 0.181026
0.632742 110.886791 3516.934122 0.720900
0.415818 964.590694 3401.491846 0.045456
0.086250 311.571158 2545.613387 0.000000
0.942412 657.185964 3669.590298 0.605522
0.921949 981.123332 1695.911934 0.369956
0.039866 935.159461 1211.284825 0.000000
0.587870 339.209413 4186.074024 0.824551
0.697969 387.318915 3404.785013 0.645630
0.695936 210.775850 4700.260047 0.944781
0.148860 62.820575 3303.419062 0.131932
0.919560 390.300416 4097.721749 0.810774
0.480612 798.179392 2366.942924 0.266566
0.199789 213.185938 3967.916263 0.298483
0.768846 948.463995 537.755645 0.140966
0.974128 143.251597 3410.250814 0.737439
0.322241 189.538407 3142.241903 0.656168
0.306144 269.655268 2450.265485 0.608070
0.934969 179.429472 941.111577 0.419917
0.853180 188.491538 2287.204316 0.647858
0.739598 966.179855 1927.277405 0.190492
0.820693 150.558760 4752.954537 1.041756
0.568028 866.959308 3569.889646 0.279007
0.856260 287.014764 1783.856184 0.566289
0.646466 816.076967 510.174522 0.128590
0.494593 200.369366 4511.956469 0.941834
0.562797 373.153995 3879.324584 0.728542
0.699448 483.771357 733.174741 0.221845
0.954921 874.422016 4283.397823 0.596711
0.343776 743.275929 4680.587277 0.346321
0.161745 604.238176 1678.941223 0.000000
0.793615 115.309215 4838.550706 1.012272
0.761547 454.377079 3580.244073 0.561287
0.360115 49.768012 4983.734754 0.854834
0.321530 849.413523 1420.911553 0.107899
0.704505 623.923711 3710.840614 0.594451
0.125124 201.432313 3487.484551 0.083958
0.689531 589.543163 615.636764 0.202510
0.213361 7.699165 334.684877 0.037487
0.693533 807.227260 1863.163148 0.260992
0.810402 391.043257 4367.603716 0.864621
0.585337 135.586770 1110.741213 0.445997
0.144633 169.290253 2890.580679 0.094954
0.276996 131.052010 1369.802278 0.380706
0.578678 687.986058 1487.511160 0.299238
0.752604 920.135966 3623.821060 0.309902
0.536804 273.748279 4155.959056 0.902907
0.665871 352.032640 4016.141940 0.757849
0.670911 491.942531 645.836017 0.209067
0.291523 429.415282 3588.762072 0.370809
0.072116 568.044650 4636.715382 0.000000
0.744830 661.504350 1022.238961 0.222610
0.111208 469.575620 4881.830000 0.031068
0.670345 873.803618 4259.990115 0.461040
0.095394 868.389651 1459.819899 0.000000
0.617346 844.055127 1273.568125 0.159990
0.542308 903.275778 3003.177641 0.141363
0.494540 72.548317 2586.768769 0.611708
0.471745 4.608514 458.467964 0.331527
0.990532 645.745707 4963.590909 0.794594
0.454430 446.653336 3833.109171 0.534257
0.838330 228.919472 2592.113540 0.639843
0.499899 707.575913 979.457109 0.200144
0.859212 806.795491 1436.939761 0.376024
0.839332 120.047050 1487.129137 0.528207
0.602922 466.815556 3940.387729 0.664435
0.747668 152.552148 1589.004655 0.537118
0.873387 442.963218 953.475027 0.278531
0.924037 911.071475 3187.554296 0.470742
0.250736 386.281286 2507.582282 0.126743
0.088504 18.833097 1137.065159 0.000000
0.648714 417.573852 3630.031655 0.620928
0.790450 680.402607 4655.315320 0.770773
0.516031 993.501930 1279.079013 0.008139
0.574379 35.560116 4458.056220 0.959399
0.108676 781.570133 4012.642229 0.017604
0.912342 995.377423 2418.278353 0.414951
0.633729 788.085304 2886.305990 0.294569
0.330313 831.067064 2226.036267 0.121656
0.563143 79.034222 4487.716581 0.947075
0.897045 638.924726 3444.009012 0.588452
0.468554 1.313030 4490.645277 0.898046
0.586839 128.183390 4750.988584 1.015221
0.966926 532.925262 4304.576422 0.703140
0.696488 891.396549 4205.618744 0.391091
0.650659 431.792842 4675.865868 0.859192
0.753295 813.430200 3791.510328 0.493199
0.843924 114.063946 1602.530713 0.560069
0.860556 530.531760 3581.509599 0.637382
0.329910 194.996546 4157.189574 0.725856
0.848246 977.785313 4922.058915 0.438053
0.638071 268.914949 3358.612419 0.675381
0.215580 747.820480 314.443721 0.000000
0.754790 922.983385 4685.905678 0.496179
0.193165 131.767464 2432.356032 0.200055
0.736386 693.053291 2551.151908 0.473545
0.483339 47.827303 4443.783295 0.953125
0.016745 151.008373 4055.587059 0.000000
0.735312 547.824343 3767.333699 0.593261
0.204245 917.200659 405.570792 0.000000
0.566894 485.244857 4877.309015 0.791713
0.242201 874.785605 4363.155493 0.088703
0.890748 164.019330 3811.206247 0.808759
0.149669 70.415508 528.584010 0.102793
0.651097 189.575029 3855.366482 0.831933
0.508917 405.462511 1851.455201 0.504528
0.728091 813.902563 2732.784050 0.315358
0.625210 680.394050 2313.138869 0.400147
0.036624 36.506159 3686.809986 0.000000
0.787529 513.875766 4886.277558 0.826066
0.222209 290.919741 772.402371 0.212859
0.516405 445.339043 4636.360360 0.834073
0.449362 836.214033 4893.770258 0.448781
0.910431 27.257913 4745.721319 0.962613
0.979980 637.388325 3921.618297 0.656509
0.926026 944.609031 3982.322809 0.482574
0.602154 679.399183 665.026319 0.209339
0.596013 333.242138 327.568711 0.061351
0.125251 68.291114 2232.568297 0.052622
0.636771 304.860160 1923.962124 0.605536
0.559691 880.592586 3592.325878 0.260816
0.674961 951.166830 1213.994789 0.048626
0.904316 961.031471 389.395859 0.089951
0.758949 970.140195 2023.436333 0.266880
0.753887 220.358646 3972.699856 0.873485
0.437072 993.006231 4123.160621 0.169613
0.472240 876.533223 4073.300326 0.386924
0.924143 751.902550 1150.549599 0.270682
0.614442 15.222498 4806.719380 1.021005
0.992486 565.801628 3421.819200 0.604764
0.725045 304.611028 4597.559907 0.994643
0.821641 248.274686 747.576286 0.418073
0.385590 611.777041 2020.281570 0.218704
0.245077 152.134816 3434.244637 0.245458
0.999214 103.924842 2424.413385 0.613549
0.893245 38.746403 311.717554 0.025014
0.263514 779.004028 2402.290765 0.058995
0.567414 435.358600 3363.629394 0.589012
0.518390 212.284515 666.973682 0.402633
0.319354 390.010230 4453.057678 0.606724
0.914668 300.531706 3864.714691 0.788488
0.527066 230.648424 1964.322285 0.595285
0.975003 877.526119 1398.645064 0.359512
