ID A B C D E F 
CF1 48 46 0.762 0.730 12.381 0.589 
CF2 14 16 0.222 0.254 0.476 0.285 
CF3 27 26 0.429 0.413 12.381 0.406 
CF4 16 18 0.254 0.286 0.000 0.315 
CF6 3 3 0.048 0.048 0.000 0.061 
CF7 17 16 0.270 0.254 0.476 0.287 
CF8 20 19 0.317 0.302 0.000 0.354 
CF9 18 19 0.286 0.302 0.476 0.312 
WB1 25 26 0.347 0.361 0.255 0.303 
WB2 27 23 0.375 0.319 0.850 0.300 
WB3 46 50 0.639 0.694 0.850 0.495 
WB4 28 29 0.389 0.403 0.255 0.337 
WB5 19 20 0.264 0.278 0.850 0.217 
WB6 28 27 0.389 0.375 0.850 0.316 
WB7 35 28 0.486 0.389 0.850 0.377 
WB8 14 13 0.194 0.181 0.000 0.174 
WB9 27 33 0.374 0.458 0.595 0.374 
