DATA	q0	q1	q2	q3
x0	99.4693684272	99.8685734351	100.159953842	99.7757371697
x1	99.0744033629	99.7201228768	100.990216243	100.330811386
x2	99.4569482549	99.7991516325	99.5404079932	99.7998582042
x3	99.398422745	100.231709276	99.0088861242	100.836336064
x4	100.04813273	100.144509872	99.0559135536	100.748313133
x5	99.9563813461	99.4095790271	100.291282731	100.145107006
x6	100.911863392	100.47250366	99.8003027283	99.0299995412
x7	99.8300391082	100.413101149	99.1689845645	100.663900598
x8	100.114765683	99.8353702876	99.8817339761	99.6772541576
x9	100.934284869	99.7988424625	100.777660957	100.220238036
x10	99.6031444815	99.9217289582	99.5875114371	100.869495122
x11	99.7334341981	100.224522744	99.0163946762	99.4391626052
x12	100.9946663	99.7578685015	99.4001595941	99.4836733635
x13	100.024961699	100.806276011	100.150212236	99.9228782379
x14	99.6239530355	100.661342156	100.423493422	100.875814936
x15	100.356455282	99.0409974855	99.5712636054	100.468625613
x16	99.4942201445	99.1271620208	99.3428630974	99.0191763906
x17	99.7989024685	99.5287012304	99.9820066888	100.436109181
x18	100.453183596	100.891194799	100.060896738	100.348351697
x19	100.472991881	99.4954941046	99.4865920463	99.8611045289
